vic_erp, lga_name11, lga_code_2011, c_total, e_total, d_total, b_total, a_total, ref_period, grand_tot, lga_erp, f_total
5937481,"Ararat (RC)",20260,98,169,159,488,323,2015,1245,11028,8
5937481,"Ballarat (C)",20570,555,1475,686,6924,1650,2015,11339,101578,49
5937481,"Banyule (C)",20660,472,1962,462,5062,1221,2015,9201,126232,22
5937481,"Bass Coast (S)",20740,210,417,216,1056,598,2015,2515,32033,18
5937481,"Baw Baw (S)",20830,347,532,310,1556,724,2015,3491,46638,22
5937481,"Bayside (C)",20910,304,327,318,2804,569,2015,4331,101321,9
5937481,"Benalla (RC)",21010,52,216,77,426,261,2015,1038,13496,6
5937481,"Boroondara (C)",21110,305,295,311,5108,677,2015,6717,174787,21
5937481,"Brimbank (C)",21180,1547,2118,1208,11277,2415,2015,18591,199432,26
5937481,"Buloke (S)",21270,4,6,23,138,53,2015,227,5952,3
5937481,"Campaspe (S)",21370,144,401,259,1684,501,2015,3006,36747,17
5937481,"Cardinia (S)",21450,436,1183,496,3654,1103,2015,6904,90884,32
5937481,"Casey (C)",21610,1211,2476,1187,11655,3419,2015,19990,292211,42
5937481,"Central Goldfields (S)",21670,64,225,150,514,234,2015,1189,12575,2
5937481,"Colac-Otway (S)",21750,64,198,155,694,393,2015,1510,20255,6
5937481,"Corangamite (S)",21830,44,104,54,314,183,2015,705,15671,6
5937481,"Darebin (C)",21890,733,1059,743,10884,1634,2015,15075,150881,22
5937481,"East Gippsland (S)",22110,293,586,495,1814,877,2015,4101,43995,36
5937481,"Frankston (C)",22170,1103,2523,1456,7649,2088,2015,14856,135971,37
5937481,"Gannawarra (S)",22250,43,93,72,219,114,2015,544,10019,3
5937481,"Golden Plains (S)",22490,19,55,35,402,80,2015,594,20809,3
5937481,"Greater Bendigo (C)",22620,513,1433,826,4058,1469,2015,8323,108437,24
5937481,"Greater Dandenong (C)",22670,1325,3145,1586,9995,2745,2015,18885,152739,89
5937481,"Greater Geelong (C)",22750,837,2174,1661,13364,2544,2015,20615,229420,35
5937481,"Greater Shepparton (C)",22830,466,1329,609,3943,1268,2015,7629,63366,14
5937481,"Hepburn (S)",22910,32,56,32,503,123,2015,746,14794,0
5937481,"Hindmarsh (S)",22980,22,26,21,83,45,2015,197,5494,0
5937481,"Hobsons Bay (C)",23110,278,646,447,4394,949,2015,6744,92761,30
5937481,"Horsham (RC)",23190,230,651,228,1278,542,2015,2942,19774,13
5937481,"Hume (C)",23270,1163,2835,1245,11320,2935,2015,19539,194006,41
5937481,"Indigo (S)",23350,22,21,46,233,105,2015,427,15431,0
5937481,"Kingston (C)",23430,759,1174,694,6516,1364,2015,10552,154477,45
5937481,"Knox (C)",23670,719,1114,602,6299,1421,2015,10171,155681,16
5937481,"Latrobe (C)",23810,879,2603,1099,6128,2546,2015,13293,73548,38
5937481,"Glen Eira (C)",22310,393,373,330,4002,677,2015,5786,146303,11
5937481,"Glenelg (S)",22410,147,260,182,804,320,2015,1723,19158,10
5937481,"Loddon (S)",23940,24,22,36,188,90,2015,365,7283,5
5937481,"Macedon Ranges (S)",24130,223,296,152,1148,362,2015,2192,45308,11
5937481,"Manningham (C)",24210,207,362,168,2905,609,2015,4259,119442,8
5937481,"Mansfield (S)",24250,20,39,60,256,73,2015,458,8300,10
5937481,"Maribyrnong (C)",24330,585,453,584,5661,869,2015,8188,83515,36
5937481,"Maroondah (C)",24410,435,1359,547,4372,1080,2015,7810,112310,17
5937481,"Melbourne (C)",24600,2118,3684,4550,19503,3691,2015,33698,128980,152
5937481,"Melton (S)",24650,594,1140,627,6831,1518,2015,10723,132752,13
5937481,"Mildura (RC)",24780,394,888,690,3052,930,2015,5980,53015,26
5937481,"Mitchell (S)",24850,192,866,315,1794,835,2015,4019,39143,17
5937481,"Moira (S)",24900,155,184,170,671,327,2015,1513,28820,6
5937481,"Monash (C)",24970,535,809,511,6823,1272,2015,9961,187286,11
5937481,"Moonee Valley (C)",25060,788,781,488,6272,1129,2015,9514,119583,56
5937481,"Moorabool (S)",25150,97,232,128,1217,321,2015,2007,31496,12
5937481,"Moreland (C)",25250,531,1194,576,9474,1779,2015,13576,166770,22
5937481,"Mornington Peninsula (S)",25340,670,1546,1100,5866,1553,2015,10772,155015,37
5937481,"Mount Alexander (S)",25430,86,194,96,411,273,2015,1075,18130,15
5937481,"Moyne (S)",25490,88,223,81,311,269,2015,977,16229,5
5937481,"Murrindindi (S)",25620,13,47,54,357,118,2015,609,13693,20
5937481,"Nillumbik (S)",25710,94,263,99,2169,343,2015,2972,62602,4
5937481,"Northern Grampians (S)",25810,95,96,135,478,275,2015,1089,11509,10
5937481,"Port Phillip (C)",25900,867,926,1163,7827,1641,2015,12472,107127,48
5937481,"Pyrenees (S)",25990,26,32,34,227,97,2015,425,6822,9
5937481,"Queenscliffe (B)",26080,1,6,11,77,8,2015,106,3017,3
5937481,"South Gippsland (S)",26170,70,304,93,677,330,2015,1478,27706,4
5937481,"Southern Grampians (S)",26260,49,133,118,523,220,2015,1052,15751,9
5937481,"Stonnington (C)",26350,567,661,796,6980,947,2015,9971,107941,20
5937481,"Strathbogie (S)",26430,19,117,25,223,100,2015,486,9826,2
5937481,"Surf Coast (S)",26490,61,99,82,1167,163,2015,1580,28941,8
5937481,"Swan Hill (RC)",26610,197,435,337,844,446,2015,2271,20409,12
5937481,"Towong (S)",26670,4,5,24,96,35,2015,165,5762,1
5937481,"Wangaratta (RC)",26700,272,410,457,956,396,2015,2509,27065,18
5937481,"Warrnambool (C)",26730,271,500,193,1145,449,2015,2564,33644,6
5937481,"Wellington (S)",26810,238,722,437,1905,1047,2015,4374,41965,25
5937481,"West Wimmera (S)",26890,11,19,18,42,64,2015,154,3879,0
5937481,"Whitehorse (C)",26980,378,676,312,5881,1120,2015,8380,165557,13
5937481,"Whittlesea (C)",27070,833,1423,609,8693,2146,2015,13735,195397,31
5937481,"Wodonga (RC)",27170,135,657,260,1700,757,2015,3520,38559,11
