lga_code,lga_name,c_total,e_total,d_total,b_total,a_total,ref_period,offence_total,lga_erp,f_total
26890,West Wimmera (S),11,40,10,61,37,2014,159,3981,0
26980,Whitehorse (C),311,658,338,5468,977,2014,7783,163646,31
27070,Whittlesea (C),635,1272,596,9764,2020,2014,14309,186843,22
27170,Wodonga (RC),166,475,254,1614,674,2014,3193,38067,10
27260,Wyndham (C),489,1176,723,8931,1683,2014,13188,199645,186
27350,Yarra (C),1099,743,1332,8407,1100,2014,12787,86377,106
27450,Yarra Ranges (S),433,586,551,4485,1257,2014,7344,150036,32
27630,Yarriambiack (S),28,33,66,93,81,2014,302,6884,1
20110,Alpine (S),46,43,101,219,95,2015,512,11858,8
20260,Ararat (RC),98,169,159,488,323,2015,1245,11028,8
20570,Ballarat (C),555,1475,686,6924,1650,2015,11339,101578,49
20660,Banyule (C),472,1962,462,5062,1221,2015,9201,126232,22
20740,Bass Coast (S),210,417,216,1056,598,2015,2515,32033,18
20830,Baw Baw (S),347,532,310,1556,724,2015,3491,46638,22
20910,Bayside (C),304,327,318,2804,569,2015,4331,101321,9
21010,Benalla (RC),52,216,77,426,261,2015,1038,13496,6
21110,Boroondara (C),305,295,311,5108,677,2015,6717,174787,21
21180,Brimbank (C),1547,2118,1208,11277,2415,2015,18591,199432,26
21270,Buloke (S),4,6,23,138,53,2015,227,5952,3
21370,Campaspe (S),144,401,259,1684,501,2015,3006,36747,17
21450,Cardinia (S),436,1183,496,3654,1103,2015,6904,90884,32
21610,Casey (C),1211,2476,1187,11655,3419,2015,19990,292211,42
21670,Central Goldfields (S),64,225,150,514,234,2015,1189,12575,2
21750,Colac-Otway (S),64,198,155,694,393,2015,1510,20255,6
21830,Corangamite (S),44,104,54,314,183,2015,705,15671,6
21890,Darebin (C),733,1059,743,10884,1634,2015,15075,150881,22
22110,East Gippsland (S),293,586,495,1814,877,2015,4101,43995,36
22170,Frankston (C),1103,2523,1456,7649,2088,2015,14856,135971,37
22250,Gannawarra (S),43,93,72,219,114,2015,544,10019,3
22490,Golden Plains (S),19,55,35,402,80,2015,594,20809,3
22620,Greater Bendigo (C),513,1433,826,4058,1469,2015,8323,108437,24
22670,Greater Dandenong (C),1325,3145,1586,9995,2745,2015,18885,152739,89
22750,Greater Geelong (C),837,2174,1661,13364,2544,2015,20615,229420,35
22830,Greater Shepparton (C),466,1329,609,3943,1268,2015,7629,63366,14
22910,Hepburn (S),32,56,32,503,123,2015,746,14794,0
22980,Hindmarsh (S),22,26,21,83,45,2015,197,5494,0
23110,Hobsons Bay (C),278,646,447,4394,949,2015,6744,92761,30
23190,Horsham (RC),230,651,228,1278,542,2015,2942,19774,13
23270,Hume (C),1163,2835,1245,11320,2935,2015,19539,194006,41
23350,Indigo (S),22,21,46,233,105,2015,427,15431,0
23430,Kingston (C),759,1174,694,6516,1364,2015,10552,154477,45
23670,Knox (C),719,1114,602,6299,1421,2015,10171,155681,16
23810,Latrobe (C),879,2603,1099,6128,2546,2015,13293,73548,38
22310,Glen Eira (C),393,373,330,4002,677,2015,5786,146303,11
22410,Glenelg (S),147,260,182,804,320,2015,1723,19158,10
23940,Loddon (S),24,22,36,188,90,2015,365,7283,5
24130,Macedon Ranges (S),223,296,152,1148,362,2015,2192,45308,11
24210,Manningham (C),207,362,168,2905,609,2015,4259,119442,8
24250,Mansfield (S),20,39,60,256,73,2015,458,8300,10
24330,Maribyrnong (C),585,453,584,5661,869,2015,8188,83515,36
24410,Maroondah (C),435,1359,547,4372,1080,2015,7810,112310,17
24600,Melbourne (C),2118,3684,4550,19503,3691,2015,33698,128980,152
24650,Melton (S),594,1140,627,6831,1518,2015,10723,132752,13
24780,Mildura (RC),394,888,690,3052,930,2015,5980,53015,26
24850,Mitchell (S),192,866,315,1794,835,2015,4019,39143,17
24900,Moira (S),155,184,170,671,327,2015,1513,28820,6
24970,Monash (C),535,809,511,6823,1272,2015,9961,187286,11
25060,Moonee Valley (C),788,781,488,6272,1129,2015,9514,119583,56
25150,Moorabool (S),97,232,128,1217,321,2015,2007,31496,12
25250,Moreland (C),531,1194,576,9474,1779,2015,13576,166770,22
25340,Mornington Peninsula (S),670,1546,1100,5866,1553,2015,10772,155015,37
25430,Mount Alexander (S),86,194,96,411,273,2015,1075,18130,15
25490,Moyne (S),88,223,81,311,269,2015,977,16229,5
25620,Murrindindi (S),13,47,54,357,118,2015,609,13693,20
25710,Nillumbik (S),94,263,99,2169,343,2015,2972,62602,4
25810,Northern Grampians (S),95,96,135,478,275,2015,1089,11509,10
25900,Port Phillip (C),867,926,1163,7827,1641,2015,12472,107127,48
25990,Pyrenees (S),26,32,34,227,97,2015,425,6822,9
26080,Queenscliffe (B),1,6,11,77,8,2015,106,3017,3
26170,South Gippsland (S),70,304,93,677,330,2015,1478,27706,4
26260,Southern Grampians (S),49,133,118,523,220,2015,1052,15751,9
26350,Stonnington (C),567,661,796,6980,947,2015,9971,107941,20
26430,Strathbogie (S),19,117,25,223,100,2015,486,9826,2
26490,Surf Coast (S),61,99,82,1167,163,2015,1580,28941,8
26610,Swan Hill (RC),197,435,337,844,446,2015,2271,20409,12
26670,Towong (S),4,5,24,96,35,2015,165,5762,1
26700,Wangaratta (RC),272,410,457,956,396,2015,2509,27065,18
26730,Warrnambool (C),271,500,193,1145,449,2015,2564,33644,6
26810,Wellington (S),238,722,437,1905,1047,2015,4374,41965,25
26890,West Wimmera (S),11,19,18,42,64,2015,154,3879,0
26980,Whitehorse (C),378,676,312,5881,1120,2015,8380,165557,13
27070,Whittlesea (C),833,1423,609,8693,2146,2015,13735,195397,31
27170,Wodonga (RC),135,657,260,1700,757,2015,3520,38559,11
27260,Wyndham (C),549,1356,798,9232,1829,2015,13816,209847,52
27350,Yarra (C),961,894,1126,8385,1232,2015,12629,89151,31
27450,Yarra Ranges (S),497,898,556,4222,1227,2015,7438,150661,38
27630,Yarriambiack (S),19,42,77,201,88,2015,447,6759,20
20110,Alpine (S),37,47,76,188,105,2016,456,11985,3
20260,Ararat (RC),142,280,153,463,363,2016,1405,11299,4
20570,Ballarat (C),507,1656,676,7520,1823,2016,12214,104344,32
20660,Banyule (C),461,1465,416,6083,1229,2016,9667,127430,13
20740,Bass Coast (S),124,555,212,1343,607,2016,2851,33581,10
20830,Baw Baw (S),428,614,284,1909,788,2016,4062,48378,39
20910,Bayside (C),219,450,294,3694,613,2016,5284,101852,14
21010,Benalla (RC),69,321,71,766,335,2016,1575,13715,13
21110,Boroondara (C),349,734,322,6451,808,2016,8675,177915,11
21180,Brimbank (C),1529,2584,1221,11577,2555,2016,19492,200144,26
21270,Buloke (S),19,13,9,122,57,2016,223,5966,3
21370,Campaspe (S),163,693,318,1750,765,2016,3708,36955,19
21450,Cardinia (S),374,1523,387,4082,1155,2016,7541,95604,20
21610,Casey (C),1114,3214,944,14089,3992,2016,23385,300169,32
21670,Central Goldfields (S),59,413,136,644,278,2016,1532,12729,2
21750,Colac-Otway (S),141,251,152,925,325,2016,1814,20676,20
21830,Corangamite (S),40,101,61,502,161,2016,867,15961,2
21890,Darebin (C),910,1294,751,11742,1591,2016,16319,153638,31
22110,East Gippsland (S),273,763,387,1957,865,2016,4263,44611,18
22170,Frankston (C),1157,2940,1301,8601,2247,2016,16274,137554,28
22250,Gannawarra (S),48,122,61,228,116,2016,578,9771,3
22490,Golden Plains (S),26,62,23,509,105,2016,736,21714,11
22620,Greater Bendigo (C),489,2221,775,5148,1559,2016,10210,110497,18
22670,Greater Dandenong (C),1344,3083,1540,11121,3248,2016,20392,155913,56
22750,Greater Geelong (C),924,2583,1383,16030,2759,2016,23725,231487,46
22830,Greater Shepparton (C),461,1503,621,4155,1437,2016,8193,64803,16
22910,Hepburn (S),16,90,22,560,134,2016,825,15175,3
22980,Hindmarsh (S),16,68,15,151,99,2016,349,5497,0
23110,Hobsons Bay (C),257,920,411,4267,910,2016,6803,93377,38
23190,Horsham (RC),158,731,215,1241,523,2016,2876,19886,8
23270,Hume (C),1295,3510,1195,13962,3146,2016,23273,199220,165
23350,Indigo (S),26,61,47,199,78,2016,413,15549,2
23430,Kingston (C),709,1571,704,6971,1388,2016,11389,155995,46
23670,Knox (C),821,1341,646,6928,1633,2016,11402,158017,33
